,ID,縣市,單價,wgs84_x,wgs84_y
2,TR-3,高雄市,1.4890721792686148,22.640965868511994,120.3657990855171
23,TR-24,高雄市,0.6973847884793465,22.6374811506971,120.2865556528731
32,TR-33,高雄市,0.9878263164612082,22.623863528417605,120.29281272703071
57,TR-58,高雄市,1.4375422307557038,22.63056542201627,120.31598007173909
74,TR-75,高雄市,1.4422267715296049,22.653218313485787,120.28785597872694
89,TR-90,高雄市,1.4188040676601,22.672438241615804,120.31541255625339
107,TR-108,高雄市,1.2314224367040598,22.73288497377765,120.33799023646843
131,TR-132,高雄市,1.0206181018785152,22.717771126460402,120.29648768151135
134,TR-135,高雄市,1.395381363790595,22.64673712308887,120.29052603300858
165,TR-166,高雄市,1.301690548312575,22.66364591939507,120.2995176530437
176,TR-177,高雄市,1.0440408057480202,22.68630234968669,120.31378658588191
177,TR-178,高雄市,1.4703340161730107,22.663305980108863,120.30648638188609
193,TR-194,高雄市,2.1917532953537644,22.653006984670142,120.2829922190947
199,TR-200,高雄市,0.8332364709224753,22.635592270976765,120.34993698613724
207,TR-208,高雄市,0.8332364709224753,22.61055794579137,120.32991048925963
211,TR-212,高雄市,1.254845140573565,22.643528491160957,120.3698443752029
223,TR-224,高雄市,0.9503499902700004,22.600610356021036,120.33966528497263
229,TR-230,高雄市,0.8098137670529704,22.626946787409842,120.31027796982595
231,TR-232,高雄市,1.6296084024856448,22.65779253678674,120.30747736248463
232,TR-233,高雄市,1.254845140573565,22.645715647671032,120.367985829232
243,TR-244,高雄市,1.55934029087713,22.683476029486854,120.31384931440974
248,TR-249,高雄市,1.7232992179636646,22.639857378545944,120.2929351905223
250,TR-251,高雄市,1.13773162122604,22.709025124619373,120.28530946465214
252,TR-253,高雄市,0.7395456554444555,22.72663691004983,120.30423028883187
253,TR-254,高雄市,1.8169900334416844,22.619572215555475,120.31531463096496
271,TR-272,高雄市,1.0674635096175251,22.6140930470621,120.30747261246451
276,TR-277,高雄市,0.8894509602092873,22.72478322186986,120.29542967849262
281,TR-282,高雄市,1.4188040676601,22.672498793127314,120.28584918467821
294,TR-295,高雄市,1.395381363790595,22.654406483507035,120.2890174262187
297,TR-298,高雄市,0.8332364709224753,22.646090841619635,120.32275260638846
302,TR-303,高雄市,1.114308917356535,22.63707770878255,120.33776917158778
309,TR-310,高雄市,1.4422267715296049,22.66187274493032,120.2885508330935
312,TR-313,高雄市,1.6998765140941594,22.671206281575888,120.30198013576955
314,TR-315,高雄市,0.8472900932441783,22.72793459485254,120.31827137339269
330,TR-331,高雄市,0.9035045825309904,22.6818545496061,120.3190249594319
338,TR-339,高雄市,1.5359175870076247,22.68576449030301,120.34271298319754
365,TR-366,高雄市,1.6624001879029515,22.672398282904165,120.29990138167835
367,TR-368,高雄市,1.301690548312575,22.653213164650833,120.286698169005
368,TR-369,高雄市,1.114308917356535,22.730864542971755,120.33206144631976
373,TR-374,高雄市,1.400065904564496,22.617721376237384,120.35915496015036
396,TR-397,高雄市,1.348535956051585,22.637985571598,120.33674330522895
407,TR-408,高雄市,0.9737726941395052,22.637309300043825,120.29466046492061
411,TR-412,高雄市,0.8238673893746735,22.626693422852057,120.31226372223749
412,TR-413,高雄市,0.9035045825309904,22.56248651960912,120.34954120388886
416,TR-417,高雄市,1.0440408057480202,22.64219391358125,120.35221170503364
